,name,rating,highlyRatedFor,badlyRatedFor,Industry,Location
163,Deutsche Bank,4.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Banking ,Frankfurt 
164,LG Electronics,4.0,"Job Security, Skill Development / Learning, Salary & Benefits",NaN,Consumer Electronics & Appliances ,Seoul 
165,Samvardhana Motherson Group,3.8,Job Security,Promotions / Appraisal,Auto Components ,Noida 
166,Thermax Limited,4.2,"Job Security, Company Culture, Skill Development / Learning",NaN,,
167,Team Lease,3.9,NaN,Promotions / Appraisal,Recruitment ,Bangalore/Bengaluru 
168,R1 RCM,3.9,"Job Security, Company Culture, Work Life Balance",NaN,Healthcare ,Murray 
169,Future Group,4.3,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Retail ,Mumbai 
170,Havells,4.0,"Work Life Balance, Salary & Benefits, Company Culture",NaN,Electrical Equipment ,Noida 
171,Macleods Pharmaceuticals,3.7,Job Security,"Promotions / Appraisal, Company Culture",Pharma ,Mumbai 
172,Tata Capital,4.1,"Job Security, Company Culture, Skill Development / Learning",NaN,NBFC ,Mumbai 
173,Kogta Financial India Limited,4.8,"Company Culture, Work Life Balance, Work Satisfaction",NaN,NBFC ,Jaipur 
174,Godrej & Boyce Manufacturing,3.9,Job Security,Promotions / Appraisal,Consumer Electronics & Appliances ,Mumbai 
175,Access Healthcare,3.9,"Job Security, Company Culture",Promotions / Appraisal,IT Services & Consulting ,Dallas 
176,Hetero Drugs,3.8,Job Security,"Promotions / Appraisal, Salary & Benefits",Pharma ,Hyderabad/Secunderabad 
177,Cummins,4.3,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Industrial Machinery ,Columbus 
178,Publicis Sapient,3.5,NaN,"Promotions / Appraisal, Job Security, Work Satisfaction",IT Services & Consulting ,Boston 
179,Aakash Educational Services,3.5,NaN,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Education & Training ,New Delhi 
180,Tata AIA Life Insurance,4.0,"Job Security, Salary & Benefits, Skill Development / Learning",NaN,Insurance ,Mumbai 
181,Viatris,4.2,"Salary & Benefits, Job Security, Work Life Balance",NaN,Pharma ,Canonsburg 
182,Atos,3.8,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting ,Vilnius 
183,VE Commercial Vehicles,4.0,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Automobile ,Gurgaon/Gurugram 
184,Abbott,4.2,"Salary & Benefits, Skill Development / Learning, Company Culture",Promotions / Appraisal,Pharma ,Illinois City 
